timestamp,period,scenario,relay_id,state_commanded,state_received,latency_ms,status,command_implies_change
2025-05-20T03:59:41.437554,evening,all_on,1,True,True,95.22,success,True
2025-05-20T03:59:41.437554,evening,all_on,2,True,True,95.22,success,True
2025-05-20T03:59:41.437554,evening,all_on,3,True,True,95.22,success,True
2025-05-20T03:59:41.437554,evening,all_on,4,True,True,95.22,success,True
2025-05-20T03:59:41.437554,evening,all_on,5,True,True,95.22,success,True
2025-05-20T03:59:41.437554,evening,all_on,6,True,True,95.22,success,True
2025-05-20T03:59:42.569597,evening,all_off,1,False,False,119.25,success,True
2025-05-20T03:59:42.569597,evening,all_off,2,False,False,119.25,success,True
2025-05-20T03:59:42.569597,evening,all_off,3,False,False,119.25,success,True
2025-05-20T03:59:42.569597,evening,all_off,4,False,False,119.25,success,True
2025-05-20T03:59:42.569597,evening,all_off,5,False,False,119.25,success,True
2025-05-20T03:59:42.569597,evening,all_off,6,False,False,119.25,success,True
2025-05-20T03:59:43.790580,evening,alternate_1,1,True,True,118.54,success,True
2025-05-20T03:59:43.790580,evening,alternate_1,2,False,False,118.54,success,False
2025-05-20T03:59:43.790580,evening,alternate_1,3,True,True,118.54,success,True
2025-05-20T03:59:43.790580,evening,alternate_1,4,False,False,118.54,success,False
2025-05-20T03:59:43.790580,evening,alternate_1,5,True,True,118.54,success,True
2025-05-20T03:59:43.790580,evening,alternate_1,6,False,False,118.54,success,False
2025-05-20T03:59:45.013701,evening,alternate_2,1,False,False,122.15,success,True
2025-05-20T03:59:45.013701,evening,alternate_2,2,True,True,122.15,success,True
2025-05-20T03:59:45.013701,evening,alternate_2,3,False,False,122.15,success,True
2025-05-20T03:59:45.013701,evening,alternate_2,4,True,True,122.15,success,True
2025-05-20T03:59:45.013701,evening,alternate_2,5,False,False,122.15,success,True
2025-05-20T03:59:45.013701,evening,alternate_2,6,True,True,122.15,success,True
2025-05-20T03:59:46.251840,evening,random,1,False,False,136.94,success,False
2025-05-20T03:59:46.251840,evening,random,2,True,True,136.94,success,False
2025-05-20T03:59:46.251840,evening,random,3,False,False,136.94,success,False
2025-05-20T03:59:46.251840,evening,random,4,True,True,136.94,success,False
2025-05-20T03:59:46.251840,evening,random,5,True,True,136.94,success,True
2025-05-20T03:59:46.251840,evening,random,6,True,True,136.94,success,False
2025-05-20T03:59:47.478493,evening,all_on,1,True,True,141.83,success,True
2025-05-20T03:59:47.478493,evening,all_on,2,True,True,141.83,success,False
2025-05-20T03:59:47.478493,evening,all_on,3,True,True,141.83,success,True
2025-05-20T03:59:47.478493,evening,all_on,4,True,True,141.83,success,False
2025-05-20T03:59:47.478493,evening,all_on,5,True,True,141.83,success,False
2025-05-20T03:59:47.478493,evening,all_on,6,True,True,141.83,success,False
2025-05-20T03:59:48.710065,evening,all_off,1,False,False,153.63,success,True
2025-05-20T03:59:48.710065,evening,all_off,2,False,False,153.63,success,True
2025-05-20T03:59:48.710065,evening,all_off,3,False,False,153.63,success,True
2025-05-20T03:59:48.710065,evening,all_off,4,False,False,153.63,success,True
2025-05-20T03:59:48.710065,evening,all_off,5,False,False,153.63,success,True
2025-05-20T03:59:48.710065,evening,all_off,6,False,False,153.63,success,True
2025-05-20T03:59:49.839716,evening,alternate_1,1,True,True,62.85,success,True
2025-05-20T03:59:49.839716,evening,alternate_1,2,False,False,62.85,success,False
2025-05-20T03:59:49.839716,evening,alternate_1,3,True,True,62.85,success,True
2025-05-20T03:59:49.839716,evening,alternate_1,4,False,False,62.85,success,False
2025-05-20T03:59:49.839716,evening,alternate_1,5,True,True,62.85,success,True
2025-05-20T03:59:49.839716,evening,alternate_1,6,False,False,62.85,success,False
2025-05-20T03:59:50.957316,evening,alternate_2,1,False,False,69.62,success,True
2025-05-20T03:59:50.957316,evening,alternate_2,2,True,True,69.62,success,True
2025-05-20T03:59:50.957316,evening,alternate_2,3,False,False,69.62,success,True
2025-05-20T03:59:50.957316,evening,alternate_2,4,True,True,69.62,success,True
2025-05-20T03:59:50.957316,evening,alternate_2,5,False,False,69.62,success,True
2025-05-20T03:59:50.957316,evening,alternate_2,6,True,True,69.62,success,True
2025-05-20T03:59:52.087674,evening,random,1,False,False,85.46,success,False
2025-05-20T03:59:52.087674,evening,random,2,True,True,85.46,success,False
2025-05-20T03:59:52.087674,evening,random,3,True,True,85.46,success,True
2025-05-20T03:59:52.087674,evening,random,4,True,True,85.46,success,False
2025-05-20T03:59:52.087674,evening,random,5,False,False,85.46,success,False
2025-05-20T03:59:52.087674,evening,random,6,False,False,85.46,success,True
2025-05-20T03:59:53.212679,evening,all_on,1,True,True,99.08,success,True
2025-05-20T03:59:53.212679,evening,all_on,2,True,True,99.08,success,False
2025-05-20T03:59:53.212679,evening,all_on,3,True,True,99.08,success,False
2025-05-20T03:59:53.212679,evening,all_on,4,True,True,99.08,success,False
2025-05-20T03:59:53.212679,evening,all_on,5,True,True,99.08,success,True
2025-05-20T03:59:53.212679,evening,all_on,6,True,True,99.08,success,True
2025-05-20T03:59:54.379426,evening,all_off,1,False,False,152.9,success,True
2025-05-20T03:59:54.379426,evening,all_off,2,False,False,152.9,success,True
2025-05-20T03:59:54.379426,evening,all_off,3,False,False,152.9,success,True
2025-05-20T03:59:54.379426,evening,all_off,4,False,False,152.9,success,True
